Date,Sales,Ticker
2019-08-06,6942.11,IRB
2019-09-04,6942.11,IRB
2019-10-23,7261.94,IRB
2020-02-14,7216.07,IRB
2020-03-31,7216.07,IRB
2020-06-18,6852.22,IRB
2020-07-07,6852.22,IRB
2020-08-24,6101.48,IRB
2020-11-12,5472.71,IRB
2021-01-18,5277.23,IRB
2021-03-31,5277.23,IRB
2021-05-27,5298.63,IRB
2021-08-10,5902.05,IRB
2021-09-06,5902.05,IRB
2021-10-26,6243.97,IRB
2022-02-10,5975.92,IRB
2022-03-31,5975.92,IRB
2022-05-17,5803.69,IRB
2022-08-05,6102.54,IRB
2022-09-01,6102.54,IRB
2022-10-21,5980.25,IRB
2023-02-13,6215.28,IRB
2023-03-31,6215.28,IRB
2023-05-19,6401.64,IRB
2023-07-31,6111.29,IRB
2023-09-05,6111.29,IRB
2023-10-27,6513.34,IRB
2024-01-31,6967.74,IRB
2024-03-31,6967.74,IRB
2024-05-07,7409.0,IRB
2024-08-09,7627.72,IRB
2024-08-30,7627.72,IRB
2024-10-30,7468.56,IRB
2025-01-31,7525.46,IRB
2018-11-13,4024.22,IRCON
2019-02-07,4024.22,IRCON
2019-03-31,4024.22,IRCON
2019-05-28,4024.22,IRCON
2019-08-08,5097.44,IRCON
2019-08-10,5097.44,IRCON
2019-11-13,5356.13,IRCON
2020-02-11,5315.36,IRCON
2020-03-31,5315.36,IRCON
2020-07-10,5391.51,IRCON
2020-08-25,4848.53,IRCON
2020-09-11,4848.53,IRCON
2020-11-11,4651.58,IRCON
2021-02-13,4795.07,IRCON
2021-03-31,4795.07,IRCON
2021-06-30,5343.37,IRCON
2021-08-12,5958.54,IRCON
2021-09-02,5958.54,IRCON
2021-11-12,6441.32,IRCON
2022-02-14,6848.73,IRCON
2022-03-31,6848.73,IRCON
2022-05-27,7379.67,IRCON
2022-08-08,8239.54,IRCON
2022-09-01,8239.54,IRCON
2022-11-11,8955.2,IRCON
2023-02-08,9539.86,IRCON
2023-03-31,9539.86,IRCON
2023-05-24,10367.93,IRCON
2023-08-08,11129.86,IRCON
2023-08-23,11129.86,IRCON
2023-11-09,11877.84,IRCON
2024-02-08,12460.87,IRCON
2024-03-31,12460.87,IRCON
2024-05-21,12467.21,IRCON
2024-08-08,11990.5,IRCON
2024-08-17,11990.5,IRCON
2024-11-07,11451.19,IRCON
2025-02-11,11134.51,IRCON
2024-05-28,4260.21,IRCTC
2024-08-07,4270.18,IRCTC
2024-08-13,4381.89,IRCTC
2024-11-04,4454.66,IRCTC
2025-02-11,4561.02,IRCTC
2018-04-14,1861.01,ISEC
2018-07-23,1893.35,ISEC
2018-08-01,1893.35,ISEC
2018-10-19,1895.38,ISEC
2019-01-14,1806.98,ISEC
2019-03-31,1806.98,ISEC
2019-04-23,1704.58,ISEC
2019-07-08,1725.28,ISEC
2019-07-22,1657.38,ISEC
2019-10-22,1617.09,ISEC
2020-01-20,1633.88,ISEC
2020-03-31,1633.88,ISEC
2020-05-07,1706.22,ISEC
2020-07-21,1720.97,ISEC
2020-07-22,1865.74,ISEC
2020-10-28,2129.4,ISEC
2021-01-25,2327.27,ISEC
2021-03-31,2327.27,ISEC
2021-04-21,2586.17,ISEC
2021-07-20,2785.43,ISEC
2021-07-28,2785.43,ISEC
2021-10-19,2961.12,ISEC
2022-01-18,3282.65,ISEC
2022-03-31,3282.65,ISEC
2022-04-20,3434.98,ISEC
2022-07-21,3483.23,ISEC
2022-08-03,3483.23,ISEC
2022-10-20,3485.32,ISEC
2023-01-19,3422.64,ISEC
2023-03-31,3422.64,ISEC
2023-04-19,3415.75,ISEC
2023-07-20,3556.51,ISEC
2023-08-05,3556.51,ISEC
2023-10-16,3947.05,ISEC
2024-01-16,4390.82,ISEC
2024-04-18,5049.21,ISEC
2024-07-23,5755.59,ISEC
2024-10-22,6213.24,ISEC
2025-01-20,6476.48,ISEC
2006-06-21,10312.33,ITC
2007-03-31,10310.37,ITC
2007-06-23,12588.69,ITC
2008-03-31,12590.93,ITC
2008-06-27,14633.28,ITC
2009-03-31,14630.46,ITC
2009-06-22,16548.57,ITC
2010-03-31,16547.12,ITC
2010-06-24,19126.85,ITC
2011-03-31,19126.93,ITC
2011-06-14,22565.76,ITC
2012-03-31,22565.3,ITC
2012-06-20,26516.03,ITC
2013-03-31,26516.22,ITC
2013-06-17,31618.33,ITC
2014-03-31,31616.89,ITC
2014-06-26,35306.43,ITC
2015-03-31,35299.42,ITC
2015-06-26,38817.15,ITC
2016-03-31,38834.81,ITC
2016-06-22,39192.1,ITC
2017-03-31,39183.09,ITC
2017-06-30,42767.6,ITC
2018-03-31,42776.61,ITC
2018-06-29,43448.94,ITC
2018-12-31,43448.94,ITC
2019-03-31,43435.84,ITC
2019-06-14,48339.58,ITC
2019-08-02,48339.58,ITC
2019-10-24,51321.25,ITC
2020-01-31,51640.03,ITC
2020-03-31,51640.03,ITC
2020-06-26,50210.0,ITC
2020-07-24,48030.56,ITC
