Date,OPM,Ticker
2007-03-31,25.37,TECHM
2007-06-30,22.06,TECHM
2007-09-30,21.96,TECHM
2007-12-31,21.99,TECHM
2008-03-31,21.61,TECHM
2008-06-30,25.7,TECHM
2008-09-30,33.78,TECHM
2008-12-31,28.07,TECHM
2009-03-31,27.02,TECHM
2009-06-30,25.22,TECHM
2009-09-30,25.38,TECHM
2009-12-31,23.64,TECHM
2010-03-31,23.57,TECHM
2010-06-30,18.76,TECHM
2010-09-30,27.72,TECHM
2010-12-31,21.2,TECHM
2011-03-31,41.67,TECHM
2011-06-30,18.7,TECHM
2011-09-30,15.32,TECHM
2011-12-31,16.21,TECHM
2012-03-31,17.55,TECHM
2012-06-30,21.4,TECHM
2012-09-30,20.76,TECHM
2012-12-31,21.01,TECHM
2013-03-31,19.93,TECHM
2013-06-30,21.07,TECHM
2013-09-30,23.29,TECHM
2013-12-31,23.2,TECHM
2014-03-31,21.19,TECHM
2014-06-30,18.13,TECHM
2014-09-30,20.2,TECHM
2014-12-31,20.34,TECHM
2015-03-31,15.31,TECHM
2015-06-30,14.38,TECHM
2015-09-30,16.43,TECHM
2015-12-31,16.83,TECHM
2016-03-31,16.72,TECHM
2016-06-30,14.84,TECHM
2016-09-30,14.93,TECHM
2016-12-31,15.7,TECHM
2017-03-31,11.99,TECHM
2017-06-30,12.74,TECHM
2017-09-30,14.54,TECHM
2017-12-31,16.26,TECHM
2018-03-31,17.53,TECHM
2018-06-30,16.25,TECHM
2018-09-30,18.6,TECHM
2018-12-31,19.11,TECHM
2019-03-31,18.12,TECHM
2019-06-30,15.1,TECHM
2019-09-30,16.55,TECHM
2019-12-31,16.19,TECHM
2020-03-31,11.91,TECHM
2020-06-30,14.28,TECHM
2020-09-30,18.17,TECHM
2020-12-31,19.65,TECHM
2021-03-31,19.5,TECHM
2021-06-30,18.4,TECHM
2021-09-30,18.33,TECHM
2021-12-31,17.98,TECHM
2022-03-31,17.24,TECHM
2022-06-30,14.79,TECHM
2022-09-30,14.81,TECHM
2022-12-31,15.54,TECHM
2023-03-31,13.14,TECHM
2023-06-30,10.17,TECHM
2023-09-30,7.11,TECHM
2023-12-31,8.75,TECHM
2024-03-31,8.54,TECHM
2024-06-30,12.03,TECHM
2024-09-30,13.15,TECHM
2024-12-31,13.62,TECHM
2018-03-31,12.91,TECHNOE
2018-06-30,32.41,TECHNOE
2018-09-30,30.23,TECHNOE
2018-12-31,17.93,TECHNOE
2019-03-31,17.84,TECHNOE
2019-06-30,28.97,TECHNOE
2019-09-30,37.17,TECHNOE
2019-12-31,16.42,TECHNOE
2020-03-31,5.66,TECHNOE
2020-06-30,26.12,TECHNOE
2020-09-30,29.3,TECHNOE
2020-12-31,31.29,TECHNOE
2021-03-31,8.82,TECHNOE
2021-06-30,29.13,TECHNOE
2021-09-30,31.23,TECHNOE
2021-12-31,13.59,TECHNOE
2022-03-31,12.15,TECHNOE
2022-06-30,15.47,TECHNOE
2022-09-30,17.42,TECHNOE
2022-12-31,12.6,TECHNOE
2023-03-31,2.28,TECHNOE
2023-06-30,7.71,TECHNOE
2023-09-30,16.78,TECHNOE
2023-12-31,17.25,TECHNOE
2024-03-31,12.37,TECHNOE
2024-06-30,13.94,TECHNOE
2024-09-30,15.91,TECHNOE
2024-12-31,14.15,TECHNOE
2016-06-30,16.43,TEJASNET
2016-09-30,14.58,TEJASNET
2016-12-31,23.45,TEJASNET
2017-03-31,18.5,TEJASNET
2017-06-30,22.31,TEJASNET
2017-09-30,21.47,TEJASNET
2017-12-31,22.07,TEJASNET
2018-03-31,10.52,TEJASNET
2018-06-30,26.51,TEJASNET
2018-09-30,21.56,TEJASNET
2018-12-31,19.71,TEJASNET
2019-03-31,19.31,TEJASNET
2019-06-30,14.94,TEJASNET
2019-09-30,7.31,TEJASNET
2019-12-31,0.07,TEJASNET
2020-03-31,-216.4,TEJASNET
2020-06-30,0.77,TEJASNET
2020-09-30,8.43,TEJASNET
2020-12-31,10.1,TEJASNET
2021-03-31,14.87,TEJASNET
2021-06-30,12.21,TEJASNET
2021-09-30,10.61,TEJASNET
2021-12-31,-26.43,TEJASNET
2022-03-31,-69.65,TEJASNET
2022-06-30,-5.82,TEJASNET
2022-09-30,9.79,TEJASNET
2022-12-31,2.92,TEJASNET
2023-03-31,-2.74,TEJASNET
2023-06-30,-24.47,TEJASNET
2023-09-30,3.28,TEJASNET
2023-12-31,-1.34,TEJASNET
2024-03-31,23.31,TEJASNET
2024-06-30,14.72,TEJASNET
2024-09-30,19.02,TEJASNET
2024-12-31,14.06,TEJASNET
2005-03-31,10.68,THERMAX
2005-06-30,5.21,THERMAX
2005-09-30,12.23,THERMAX
2005-12-31,10.49,THERMAX
2006-03-31,13.14,THERMAX
2006-06-30,10.41,THERMAX
2006-09-30,14.24,THERMAX
2006-12-31,12.42,THERMAX
2007-03-31,13.82,THERMAX
2007-06-30,10.71,THERMAX
2007-09-30,12.77,THERMAX
2007-12-31,11.73,THERMAX
2008-03-31,13.41,THERMAX
2008-06-30,11.19,THERMAX
2008-09-30,11.09,THERMAX
2015-06-30,8.29,THERMAX
2015-09-30,8.73,THERMAX
2015-12-31,7.31,THERMAX
2016-03-31,8.85,THERMAX
2016-06-30,8.21,THERMAX
2016-09-30,8.59,THERMAX
2016-12-31,9.27,THERMAX
2017-03-31,11.62,THERMAX
2017-06-30,8.28,THERMAX
2017-09-30,9.21,THERMAX
2017-12-31,8.55,THERMAX
2018-03-31,8.38,THERMAX
2018-06-30,6.7,THERMAX
2018-09-30,7.68,THERMAX
2018-12-31,7.42,THERMAX
2019-03-31,8.22,THERMAX
2019-06-30,7.12,THERMAX
2019-09-30,8.12,THERMAX
2019-12-31,8.03,THERMAX
2020-03-31,4.81,THERMAX
2020-06-30,-1.71,THERMAX
2020-09-30,6.95,THERMAX
2020-12-31,10.46,THERMAX
2021-03-31,8.87,THERMAX
2021-06-30,5.99,THERMAX
2021-09-30,7.49,THERMAX
2021-12-31,7.0,THERMAX
2022-03-31,6.79,THERMAX
2022-06-30,5.8,THERMAX
2022-09-30,6.76,THERMAX
2022-12-31,7.85,THERMAX
2023-03-31,8.65,THERMAX
2023-06-30,6.82,THERMAX
