Date,NPM,Ticker
2024-12-31,20.15,BHARTIARTL
2023-03-31,11.65,BHARTIHEXA
2023-06-30,15.06,BHARTIHEXA
2023-09-30,-15.39,BHARTIHEXA
2023-12-31,11.81,BHARTIHEXA
2024-03-31,11.92,BHARTIHEXA
2024-06-30,13.15,BHARTIHEXA
2024-09-30,12.07,BHARTIHEXA
2024-12-31,14.38,BHARTIHEXA
2005-03-31,12.41,BHEL
2005-06-30,6.6,BHEL
2005-09-30,10.36,BHEL
2005-12-31,12.85,BHEL
2006-03-31,15.73,BHEL
2006-06-30,8.9,BHEL
2006-09-30,10.78,BHEL
2006-12-31,15.38,BHEL
2007-03-31,16.62,BHEL
2007-06-30,8.93,BHEL
2007-09-30,17.34,BHEL
2007-12-31,15.55,BHEL
2008-03-31,14.91,BHEL
2008-06-30,8.71,BHEL
2008-09-30,11.31,BHEL
2008-12-31,12.86,BHEL
2009-03-31,12.42,BHEL
2009-06-30,8.3,BHEL
2009-09-30,12.75,BHEL
2009-12-31,14.84,BHEL
2010-03-31,13.69,BHEL
2010-06-30,10.11,BHEL
2010-09-30,13.45,BHEL
2010-12-31,15.55,BHEL
2011-03-31,15.36,BHEL
2011-06-30,11.3,BHEL
2011-09-30,13.48,BHEL
2011-12-31,13.44,BHEL
2012-03-31,17.22,BHEL
2012-06-30,10.91,BHEL
2012-09-30,12.07,BHEL
2012-12-31,11.56,BHEL
2013-03-31,16.86,BHEL
2013-06-30,7.21,BHEL
2013-09-30,5.07,BHEL
2013-12-31,8.05,BHEL
2014-03-31,12.27,BHEL
2014-06-30,3.75,BHEL
2014-09-30,2.03,BHEL
2014-12-31,3.43,BHEL
2015-03-31,6.97,BHEL
2015-06-30,1.15,BHEL
2015-09-30,-3.04,BHEL
2015-12-31,-20.37,BHEL
2016-03-31,5.07,BHEL
2016-06-30,1.39,BHEL
2016-09-30,1.65,BHEL
2016-12-31,1.48,BHEL
2017-03-31,2.2,BHEL
2017-06-30,1.45,BHEL
2017-09-30,1.79,BHEL
2017-12-31,2.3,BHEL
2018-03-31,4.48,BHEL
2018-06-30,0.67,BHEL
2018-09-30,1.26,BHEL
2018-12-31,2.68,BHEL
2019-03-31,6.56,BHEL
2019-06-30,-4.83,BHEL
2019-09-30,1.94,BHEL
2019-12-31,2.85,BHEL
2020-03-31,-30.34,BHEL
2020-06-30,-44.86,BHEL
2020-09-30,-14.95,BHEL
2020-12-31,-4.89,BHEL
2021-03-31,-14.45,BHEL
2021-06-30,-15.45,BHEL
2021-09-30,-0.91,BHEL
2021-12-31,0.53,BHEL
2022-03-31,11.32,BHEL
2022-06-30,-4.02,BHEL
2022-09-30,0.23,BHEL
2022-12-31,0.8,BHEL
2023-03-31,8.0,BHEL
2023-06-30,-4.09,BHEL
2023-09-30,-1.23,BHEL
2023-12-31,1.1,BHEL
2024-03-31,5.93,BHEL
2024-06-30,-3.85,BHEL
2024-09-30,1.61,BHEL
2024-12-31,1.85,BHEL
2021-06-30,3.72,BIKAJI
2021-09-30,6.51,BIKAJI
2021-12-31,2.44,BIKAJI
2022-03-31,6.09,BIKAJI
2022-06-30,3.75,BIKAJI
2022-09-30,7.09,BIKAJI
2022-12-31,7.88,BIKAJI
2023-03-31,8.28,BIKAJI
2023-06-30,8.59,BIKAJI
2023-09-30,9.82,BIKAJI
2023-12-31,7.37,BIKAJI
2024-03-31,18.92,BIKAJI
2024-06-30,10.15,BIKAJI
2024-09-30,9.51,BIKAJI
2024-12-31,3.89,BIKAJI
2005-03-31,24.2,BIOCON
2005-06-30,21.98,BIOCON
2005-09-30,21.5,BIOCON
2005-12-31,21.69,BIOCON
2006-03-31,22.01,BIOCON
2006-06-30,18.14,BIOCON
2006-09-30,17.92,BIOCON
2006-12-31,21.77,BIOCON
2007-03-31,20.64,BIOCON
2007-06-30,19.05,BIOCON
2007-09-30,18.86,BIOCON
2007-12-31,21.84,BIOCON
2008-03-31,23.16,BIOCON
2008-06-30,14.74,BIOCON
2008-09-30,11.14,BIOCON
2008-12-31,17.0,BIOCON
2009-03-31,15.6,BIOCON
2009-06-30,11.81,BIOCON
2009-09-30,13.05,BIOCON
2009-12-31,13.07,BIOCON
2010-03-31,12.89,BIOCON
2010-06-30,19.07,BIOCON
2010-09-30,21.17,BIOCON
2010-12-31,19.7,BIOCON
2011-03-31,21.41,BIOCON
2011-06-30,15.8,BIOCON
2011-09-30,16.69,BIOCON
2011-12-31,16.32,BIOCON
2012-03-31,16.03,BIOCON
2012-06-30,13.7,BIOCON
2012-09-30,14.31,BIOCON
2012-12-31,14.44,BIOCON
2013-03-31,10.89,BIOCON
2013-06-30,13.73,BIOCON
2013-09-30,14.21,BIOCON
2013-12-31,15.61,BIOCON
2014-03-31,16.32,BIOCON
2014-06-30,14.78,BIOCON
2014-09-30,14.13,BIOCON
2014-12-31,12.68,BIOCON
2015-03-31,14.94,BIOCON
2015-06-30,16.1,BIOCON
2015-09-30,10.33,BIOCON
2015-12-31,15.23,BIOCON
2016-03-31,13.24,BIOCON
2016-06-30,18.57,BIOCON
2016-09-30,17.6,BIOCON
2016-12-31,18.39,BIOCON
2017-03-31,16.04,BIOCON
2017-06-30,10.53,BIOCON
2017-09-30,9.2,BIOCON
2017-12-31,10.74,BIOCON
2018-03-31,13.06,BIOCON
2018-06-30,12.31,BIOCON
2018-09-30,16.62,BIOCON
2018-12-31,15.47,BIOCON
2019-03-31,15.92,BIOCON
2019-06-30,15.61,BIOCON
2019-09-30,13.07,BIOCON
2019-12-31,13.17,BIOCON
2020-03-31,10.22,BIOCON
2020-06-30,9.91,BIOCON
2020-09-30,11.17,BIOCON
2020-12-31,10.05,BIOCON
